2025-06-27T22:11:12.122803718Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.120 [info] == Running 20220131123309 Lightning.Repo.Migrations.CreateJobs.change/0 forward
2025-06-27T22:11:12.122915910Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.122 [info] create table jobs
2025-06-27T22:11:12.129946788Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.129 [info] == Migrated 20220131123309 in 0.0s
2025-06-27T22:11:12.156948462Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.156 [info] == Running 20220203064043 Lightning.Repo.Migrations.CreateDataclips.change/0 forward
2025-06-27T22:11:12.157050678Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.156 [info] create table dataclips
2025-06-27T22:11:12.161666862Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.161 [info] == Migrated 20220203064043 in 0.0s
2025-06-27T22:11:12.163445315Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.163 [info] == Running 20220203105048 Lightning.Repo.Migrations.CreateInvocationEvents.change/0 forward
2025-06-27T22:11:12.163649921Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.163 [info] create table invocation_events
2025-06-27T22:11:12.167253009Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.166 [info] create index invocation_events_dataclip_id_index
2025-06-27T22:11:12.169308250Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.169 [info] == Migrated 20220203105048 in 0.0s
2025-06-27T22:11:12.171003404Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.170 [info] == Running 20220203113423 Lightning.Repo.Migrations.AddJobIdToInvocationEvents.change/0 forward
2025-06-27T22:11:12.171883842Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.171 [info] alter table invocation_events
2025-06-27T22:11:12.173315250Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.173 [info] create index invocation_events_job_id_index
2025-06-27T22:11:12.176333777Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.176 [info] == Migrated 20220203113423 in 0.0s
2025-06-27T22:11:12.178051043Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.177 [info] == Running 20220203115038 Lightning.Repo.Migrations.CreateRuns.change/0 forward
2025-06-27T22:11:12.178231836Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.178 [info] create table runs
2025-06-27T22:11:12.184199163Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.184 [info] create index runs_event_id_index
2025-06-27T22:11:12.186183812Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.185 [info] == Migrated 20220203115038 in 0.0s
2025-06-27T22:11:12.188735793Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.188 [info] == Running 20220204132838 Lightning.Repo.Migrations.CreateTriggers.change/0 forward
2025-06-27T22:11:12.188903580Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.188 [info] create table triggers
2025-06-27T22:11:12.194224261Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.193 [info] create index triggers_job_id_index
2025-06-27T22:11:12.196107585Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.195 [info] == Migrated 20220204132838 in 0.0s
2025-06-27T22:11:12.197999818Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.197 [info] == Running 20220318131809 Lightning.Repo.Migrations.AddAdaptorToJob.change/0 forward
2025-06-27T22:11:12.198105449Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.197 [info] alter table jobs
2025-06-27T22:11:12.198528972Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.198 [info] == Migrated 20220318131809 in 0.0s
2025-06-27T22:11:12.199792464Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.199 [info] == Running 20220323142451 Lightning.Repo.Migrations.CreateCredentials.change/0 forward
2025-06-27T22:11:12.199912750Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.199 [info] create table credentials
2025-06-27T22:11:12.210772768Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.210 [info] == Migrated 20220323142451 in 0.0s
2025-06-27T22:11:12.212641629Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.212 [info] == Running 20220330120109 Lightning.Repo.Migrations.AddCredentialIdToJobs.change/0 forward
2025-06-27T22:11:12.212744336Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.212 [info] alter table jobs
2025-06-27T22:11:12.213804300Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.213 [info] == Migrated 20220330120109 in 0.0s
2025-06-27T22:11:12.215170514Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.215 [info] == Running 20220405135153 Lightning.Repo.Migrations.CreateUsers.change/0 forward
2025-06-27T22:11:12.216913671Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.216 [info] execute "CREATE EXTENSION IF NOT EXISTS citext"
2025-06-27T22:11:12.225897234Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.225 [info] create table users
2025-06-27T22:11:12.230481194Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.230 [info] create index users_email_index
2025-06-27T22:11:12.232395460Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.232 [info] == Migrated 20220405135153 in 0.0s
2025-06-27T22:11:12.235812661Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.235 [info] == Running 20220406120829 Lightning.Repo.Migrations.CreateUsersAuthTables.change/0 forward
2025-06-27T22:11:12.236007644Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.235 [info] create table users_tokens
2025-06-27T22:11:12.240215156Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.240 [info] create index users_tokens_user_id_index
2025-06-27T22:11:12.242167118Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.242 [info] create index users_tokens_context_token_index
2025-06-27T22:11:12.244450620Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.244 [info] == Migrated 20220406120829 in 0.0s
2025-06-27T22:11:12.246284395Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.246 [info] == Running 20220407083037 Lightning.Repo.Migrations.AddRoleToUsers.change/0 forward
