Facility Name,indicator_number,site_id,Indicator Name,newly_reg_in_quarter,cumulative_ever_reg,reporting_period
Namadidi Health Centre Zomba,25,1000,total_registered,14.0,924.0,Q1 2025
Namadidi Health Centre Zomba,26,1000,FT_patients_initiated - Male,2.0,272.0,Q1 2025
Namadidi Health Centre Zomba,27,1000,FT_patients_initiated - Female Non-pregnant,4.0,445.0,Q1 2025
Namadidi Health Centre Zomba,28,1000,FT_patients_initiated - Female Pregnant,0.0,39.0,Q1 2025
Namadidi Health Centre Zomba,31,1000,Re_patients_reinitiated_on_ART,0.0,8.0,Q1 2025
Namadidi Health Centre Zomba,32,1000,TI_patients_transfered_in_on_ART,8.0,160.0,Q1 2025
Namadidi Health Centre Zomba,33,1000,Male (all ages),5.0,323.0,Q1 2025
Namadidi Health Centre Zomba,34,1000,Non-pregnant Females (all ages),9.0,529.0,Q1 2025
Namadidi Health Centre Zomba,35,1000,Pregnant Females (all ages),0.0,72.0,Q1 2025
Namadidi Health Centre Zomba,333435,1000,Without gender (all ages),0.0,0.0,Q1 2025
Namadidi Health Centre Zomba,36,1000,Children below 24m at ART initiation,0.0,19.0,Q1 2025
Namadidi Health Centre Zomba,37,1000,Children 24m - 14 yrs at ART initiation,1.0,55.0,Q1 2025
Namadidi Health Centre Zomba,38,1000,Adults 15 years+ at ART initiation,13.0,850.0,Q1 2025
Namadidi Health Centre Zomba,39,1000,Pres.Sev.HIV disease age < 12m,0.0,0.0,Q1 2025
Namadidi Health Centre Zomba,40,1000,PCR Infants < 12 mths PCR,0.0,6.0,Q1 2025
Namadidi Health Centre Zomba,41,1000,U5 Children 12 - 59 mths,0.0,3.0,Q1 2025
Namadidi Health Centre Zomba,42,1000,Pregnant women,1.0,54.0,Q1 2025
Namadidi Health Centre Zomba,43,1000,Breastfeeding mothers,0.0,15.0,Q1 2025
Namadidi Health Centre Zomba,44,1000,CD4 below threshold,0.0,76.0,Q1 2025
Namadidi Health Centre Zomba,45,1000,Asymptomatic / mild,9.0,656.0,Q1 2025
Namadidi Health Centre Zomba,46,1000,WHO Stage 3,4.0,95.0,Q1 2025
Namadidi Health Centre Zomba,47,1000,WHO Stage 4,0.0,10.0,Q1 2025
Namadidi Health Centre Zomba,48,1000,Unknown / reason outside guidelines,0.0,9.0,Q1 2025
Namadidi Health Centre Zomba,49,1000,Never TB / TB over 2 years ago,13.0,907.0,Q1 2025
Namadidi Health Centre Zomba,50,1000,TB within the last 2 years,1.0,6.0,Q1 2025
Namadidi Health Centre Zomba,51,1000,Current episode of TB,0.0,11.0,Q1 2025
Namadidi Health Centre Zomba,52,1000,Kaposis Sarcoma,0.0,3.0,Q1 2025
Namadidi Health Centre Zomba,53,1000,Total alive and on ART,,441.0,Q1 2025
Namadidi Health Centre Zomba,54,1000,M1 Died within the 1st month after ART initiation,,4.0,Q1 2025
Namadidi Health Centre Zomba,55,1000,M2 Died within the 2nd month after ART initiation,,1.0,Q1 2025
Namadidi Health Centre Zomba,56,1000,M3 Died within the 3rd month after ART initiation,,3.0,Q1 2025
Namadidi Health Centre Zomba,57,1000,M4+ Died after the end of the 3rd month after ART initiation,,50.0,Q1 2025
Namadidi Health Centre Zomba,58,1000,Died total,,58.0,Q1 2025
Namadidi Health Centre Zomba,59,1000,Defaulted (more than 2 months overdue after expected to have run out of ARVs),,29.0,Q1 2025
Namadidi Health Centre Zomba,60,1000,"Stopped taking ARVs (clinician or patient own decision, last known alive)",,21.0,Q1 2025
Namadidi Health Centre Zomba,61,1000,Transferred Out,,375.0,Q1 2025
Namadidi Health Centre Zomba,64,1000,Regimen 0P,,0.0,Q1 2025
Namadidi Health Centre Zomba,64,1000,Regimen 0A,,0.0,Q1 2025
Namadidi Health Centre Zomba,65,1000,Regimen 2P,,0.0,Q1 2025
Namadidi Health Centre Zomba,65,1000,Regimen 2A,,0.0,Q1 2025
Namadidi Health Centre Zomba,66,1000,Regimen 4PP,,0.0,Q1 2025
Namadidi Health Centre Zomba,66,1000,Regimen 4PA,,0.0,Q1 2025
Namadidi Health Centre Zomba,66,1000,Regimen 4A,,0.0,Q1 2025
Namadidi Health Centre Zomba,67,1000,Regimen 5A,,0.0,Q1 2025
Namadidi Health Centre Zomba,68,1000,Regimen 6A,,0.0,Q1 2025
Namadidi Health Centre Zomba,69,1000,Regimen 7A,,0.0,Q1 2025
Namadidi Health Centre Zomba,70,1000,Regimen 8A,,0.0,Q1 2025
Namadidi Health Centre Zomba,71,1000,Regimen 9PP,,0.0,Q1 2025
Namadidi Health Centre Zomba,71,1000,Regimen 9PA,,0.0,Q1 2025
Namadidi Health Centre Zomba,71,1000,Regimen 9A,,0.0,Q1 2025
Namadidi Health Centre Zomba,72,1000,Regimen 10A,,0.0,Q1 2025
Namadidi Health Centre Zomba,73,1000,Regimen 11PP,,0.0,Q1 2025
Namadidi Health Centre Zomba,73,1000,Regimen 11PA,,0.0,Q1 2025
Namadidi Health Centre Zomba,73,1000,Regimen 11A,,0.0,Q1 2025
