site_id,gender,age_group,weight_band,regimen_category,total_clients
1000,Female,1-4 years,14 - 19.9 Kg,15PP,1
1000,Female,10-14 years,25 - 29.9 Kg,15A,1
1000,Female,10-14 years,30 - 34.9 Kg,13A,1
1000,Female,10-14 years,40 - 49.9 Kg,13A,1
1000,Female,15-19 years,40 - 49.9 Kg,13A,1
1000,Female,15-19 years,50 Kg +,13A,2
1000,Female,20-24 years,35 - 39.9 Kg,13A,1
1000,Female,20-24 years,40 - 49.9 Kg,13A,4
1000,Female,20-24 years,50 Kg +,13A,4
1000,Female,25-29 years,40 - 49.9 Kg,13A,10
1000,Female,25-29 years,50 Kg +,13A,13
1000,Female,30-34 years,40 - 49.9 Kg,13A,12
1000,Female,30-34 years,50 Kg +,13A,22
1000,Female,35-39 years,35 - 39.9 Kg,13A,1
1000,Female,35-39 years,40 - 49.9 Kg,13A,11
1000,Female,35-39 years,50 Kg +,13A,21
1000,Female,40-44 years,35 - 39.9 Kg,13A,1
1000,Female,40-44 years,40 - 49.9 Kg,13A,11
1000,Female,40-44 years,50 Kg +,13A,27
1000,Female,45-49 years,35 - 39.9 Kg,13A,2
1000,Female,45-49 years,40 - 49.9 Kg,13A,12
1000,Female,45-49 years,50 Kg +,13A,22
1000,Female,5-9 years,14 - 19.9 Kg,15PP,2
1000,Female,5-9 years,20 - 24.9 Kg,15PA,4
1000,Female,50-54 years,35 - 39.9 Kg,13A,2
1000,Female,50-54 years,40 - 49.9 Kg,13A,7
1000,Female,50-54 years,50 Kg +,13A,9
1000,Female,55-59 years,35 - 39.9 Kg,13A,1
1000,Female,55-59 years,40 - 49.9 Kg,13A,9
1000,Female,55-59 years,50 Kg +,13A,6
1000,Female,60-64 years,30 - 34.9 Kg,13A,1
1000,Female,60-64 years,35 - 39.9 Kg,13A,1
1000,Female,60-64 years,40 - 49.9 Kg,13A,2
1000,Female,60-64 years,50 Kg +,13A,11
1000,Female,65-69 years,35 - 39.9 Kg,13A,1
1000,Female,65-69 years,40 - 49.9 Kg,13A,4
1000,Female,65-69 years,50 Kg +,13A,5
1000,Female,70-74 years,40 - 49.9 Kg,13A,4
1000,Female,70-74 years,50 Kg +,13A,3
1000,Female,75-79 years,40 - 49.9 Kg,13A,2
1000,Female,75-79 years,50 Kg +,13A,2
1000,Female,80-84 years,40 - 49.9 Kg,13A,1
1000,Female,80-84 years,50 Kg +,13A,1
1000,Male,10-14 years,20 - 24.9 Kg,15PA,2
1000,Male,10-14 years,30 - 34.9 Kg,13A,2
1000,Male,15-19 years,40 - 49.9 Kg,13A,1
1000,Male,20-24 years,40 - 49.9 Kg,13A,3
1000,Male,20-24 years,50 Kg +,13A,4
1000,Male,25-29 years,40 - 49.9 Kg,13A,3
1000,Male,25-29 years,50 Kg +,13A,4
1000,Male,30-34 years,35 - 39.9 Kg,14A,1
1000,Male,30-34 years,50 Kg +,13A,3
1000,Male,35-39 years,40 - 49.9 Kg,13A,3
1000,Male,35-39 years,50 Kg +,13A,6
1000,Male,40-44 years,40 - 49.9 Kg,13A,4
1000,Male,40-44 years,50 Kg +,13A,22
1000,Male,45-49 years,40 - 49.9 Kg,13A,6
1000,Male,45-49 years,50 Kg +,13A,12
1000,Male,5-9 years,14 - 19.9 Kg,15PP,2
1000,Male,50-54 years,40 - 49.9 Kg,13A,6
1000,Male,50-54 years,50 Kg +,13A,5
1000,Male,55-59 years,40 - 49.9 Kg,13A,1
1000,Male,55-59 years,50 Kg +,13A,8
1000,Male,60-64 years,40 - 49.9 Kg,13A,3
1000,Male,60-64 years,50 Kg +,13A,10
1000,Male,65-69 years,40 - 49.9 Kg,13A,1
1000,Male,65-69 years,50 Kg +,13A,1
1000,Male,70-74 years,40 - 49.9 Kg,13A,1
1000,Male,70-74 years,50 Kg +,13A,1
1000,Male,75-79 years,50 Kg +,13A,1
site_id,gender,age_group,weight_band,regimen_category,total_clients
1003,Female,<1 years,50 Kg +,13A,1
1003,Female,15-19 years,40 - 49.9 Kg,13A,2
1003,Female,25-29 years,50 Kg +,13A,3
1003,Female,30-34 years,40 - 49.9 Kg,13A,1
1003,Female,30-34 years,50 Kg +,13A,5
1003,Female,35-39 years,50 Kg +,13A,8
1003,Female,40-44 years,40 - 49.9 Kg,13A,2
1003,Female,40-44 years,50 Kg +,13A,13
1003,Female,45-49 years,40 - 49.9 Kg,13A,1
1003,Female,45-49 years,50 Kg +,13A,11
1003,Female,50-54 years,50 Kg +,13A,6
1003,Female,55-59 years,50 Kg +,13A,2
1003,Female,60-64 years,40 - 49.9 Kg,13A,1
1003,Female,60-64 years,50 Kg +,13A,6
1003,Female,65-69 years,50 Kg +,13A,1
1003,Female,90 plus years,50 Kg +,13A,1
1003,Male,<1 years,50 Kg +,13A,1
1003,Male,30-34 years,40 - 49.9 Kg,13A,1
1003,Male,30-34 years,50 Kg +,13A,2
1003,Male,35-39 years,50 Kg +,13A,5
1003,Male,40-44 years,50 Kg +,13A,6
1003,Male,45-49 years,50 Kg +,13A,6
1003,Male,50-54 years,50 Kg +,13A,16
1003,Male,55-59 years,50 Kg +,13A,4
1003,Male,60-64 years,50 Kg +,13A,3
1003,Male,65-69 years,50 Kg +,13A,1
1003,Male,80-84 years,50 Kg +,13A,1
site_id,gender,age_group,weight_band,regimen_category,total_clients
1004,Female,1-4 years,10 - 13.9 Kg,15PP,1
1004,Female,1-4 years,14 - 19.9 Kg,15PP,1
1004,Female,10-14 years,25 - 29.9 Kg,15A,2
1004,Female,10-14 years,30 - 34.9 Kg,13A,4
1004,Female,10-14 years,35 - 39.9 Kg,13A,1
1004,Female,10-14 years,40 - 49.9 Kg,13A,2
1004,Female,15-19 years,30 - 34.9 Kg,13A,1
1004,Female,15-19 years,35 - 39.9 Kg,13A,1
1004,Female,15-19 years,40 - 49.9 Kg,13A,5
1004,Female,15-19 years,50 Kg +,13A,5
1004,Female,20-24 years,35 - 39.9 Kg,13A,4
1004,Female,20-24 years,40 - 49.9 Kg,13A,18
1004,Female,20-24 years,50 Kg +,13A,12
1004,Female,25-29 years,40 - 49.9 Kg,13A,28
1004,Female,25-29 years,50 Kg +,13A,22
1004,Female,30-34 years,35 - 39.9 Kg,13A,2
1004,Female,30-34 years,40 - 49.9 Kg,13A,30
1004,Female,30-34 years,50 Kg +,13A,43
1004,Female,35-39 years,35 - 39.9 Kg,13A,4
1004,Female,35-39 years,40 - 49.9 Kg,13A,43
1004,Female,35-39 years,50 Kg +,13A,41
1004,Female,35-39 years,50 Kg +,14A,1
1004,Female,40-44 years,30 - 34.9 Kg,13A,1
1004,Female,40-44 years,35 - 39.9 Kg,13A,6
1004,Female,40-44 years,40 - 49.9 Kg,13A,51
1004,Female,40-44 years,50 Kg +,13A,51
1004,Female,40-44 years,50 Kg +,14A,1
1004,Female,45-49 years,35 - 39.9 Kg,13A,3
1004,Female,45-49 years,40 - 49.9 Kg,13A,44
1004,Female,45-49 years,40 - 49.9 Kg,14A,1
1004,Female,45-49 years,50 Kg +,13A,27
1004,Female,5-9 years,14 - 19.9 Kg,15PP,2
1004,Female,5-9 years,20 - 24.9 Kg,15PA,1
1004,Female,50-54 years,30 - 34.9 Kg,13A,2
1004,Female,50-54 years,35 - 39.9 Kg,13A,3
1004,Female,50-54 years,40 - 49.9 Kg,13A,30
1004,Female,50-54 years,50 Kg +,13A,15
1004,Female,55-59 years,35 - 39.9 Kg,13A,2
1004,Female,55-59 years,40 - 49.9 Kg,13A,9
1004,Female,55-59 years,50 Kg +,13A,5
1004,Female,60-64 years,35 - 39.9 Kg,13A,1
1004,Female,60-64 years,40 - 49.9 Kg,13A,7
1004,Female,60-64 years,50 Kg +,13A,5
1004,Female,65-69 years,35 - 39.9 Kg,13A,2
1004,Female,65-69 years,40 - 49.9 Kg,13A,3
1004,Female,65-69 years,50 Kg +,13A,2
1004,Female,70-74 years,35 - 39.9 Kg,13A,1
1004,Female,70-74 years,40 - 49.9 Kg,13A,3
1004,Female,70-74 years,50 Kg +,13A,3
1004,Female,75-79 years,40 - 49.9 Kg,13A,1
1004,Female,75-79 years,50 Kg +,13A,1
