site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1000,2015,Q1,120,3,1,1,0,0,1,0
1000,2016,Q1,108,3,2,0,1,0,0,0
1000,2017,Q1,96,2,1,0,0,0,1,0
1000,2018,Q1,84,2,1,0,0,0,1,0
1000,2024,Q1,12,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1003,2015,Q1,120,1,0,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1004,2011,Q1,168,2,0,1,0,0,1,0
1004,2013,Q1,144,2,2,0,0,0,0,0
1004,2014,Q1,132,2,1,0,0,0,1,0
1004,2015,Q1,120,1,1,0,0,0,0,0
1004,2018,Q1,84,4,1,0,0,3,0,0
1004,2019,Q1,72,1,0,0,0,0,1,0
1004,2020,Q1,60,2,0,0,0,0,2,0
1004,2021,Q1,48,1,1,0,0,0,0,0
1004,2022,Q1,36,1,0,0,0,0,1,0
1004,2023,Q1,24,1,1,0,0,0,0,0
1004,2024,Q1,12,2,2,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1006,2013,Q1,144,1,1,0,0,0,0,0
1006,2015,Q1,120,3,2,1,0,0,0,0
1006,2016,Q1,108,1,0,1,0,0,0,0
1006,2017,Q1,96,1,1,0,0,0,0,0
1006,2019,Q1,72,1,1,0,0,0,0,0
1006,2020,Q1,60,1,1,0,0,0,0,0
1006,2021,Q1,48,1,0,0,0,0,1,0
1006,2023,Q1,24,1,1,0,0,0,0,0
1006,2024,Q1,12,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1007,2013,Q1,144,3,2,1,0,0,0,0
1007,2014,Q1,132,3,2,0,0,0,1,0
1007,2016,Q1,108,5,2,2,0,0,1,0
1007,2017,Q1,96,4,2,0,1,0,1,0
1007,2018,Q1,84,8,4,1,0,0,3,0
1007,2019,Q1,72,7,6,0,1,0,0,0
1007,2020,Q1,60,4,1,1,2,0,0,0
1007,2021,Q1,48,5,2,0,1,0,2,0
1007,2022,Q1,36,2,1,0,1,0,0,0
1007,2023,Q1,24,1,1,0,0,0,0,0
1007,2024,Q1,12,2,2,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1008,2014,Q1,132,1,1,0,0,0,0,0
1008,2015,Q1,120,1,1,0,0,0,0,0
1008,2016,Q1,108,5,1,0,3,0,1,0
1008,2017,Q1,96,10,3,3,2,0,2,0
1008,2018,Q1,84,2,0,0,1,0,1,0
1008,2019,Q1,72,2,0,0,0,0,2,0
1008,2020,Q1,60,2,0,0,1,0,1,0
1008,2021,Q1,48,2,0,0,0,0,2,0
1008,2022,Q1,36,2,0,0,0,0,2,0
1008,2023,Q1,24,1,0,0,0,0,1,0
1008,2024,Q1,12,2,1,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
100,2016,Q1,108,2,0,0,2,0,0,0
100,2017,Q1,96,1,0,0,0,0,1,0
100,2018,Q1,84,2,0,0,1,0,1,0
100,2024,Q1,12,2,1,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1011,2015,Q1,120,1,0,1,0,0,0,0
1011,2021,Q1,48,1,0,0,1,0,0,0
1011,2022,Q1,36,1,0,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1012,2012,Q1,156,1,1,0,0,0,0,0
1012,2014,Q1,132,1,1,0,0,0,0,0
1012,2015,Q1,120,4,1,2,1,0,0,0
1012,2016,Q1,108,2,0,0,0,0,2,0
1012,2017,Q1,96,1,1,0,0,0,0,0
1012,2018,Q1,84,3,0,0,1,0,2,0
1012,2019,Q1,72,3,1,0,0,1,1,0
1012,2021,Q1,48,2,0,0,0,0,2,0
1012,2022,Q1,36,2,0,0,0,0,2,0
1012,2023,Q1,24,1,1,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1013,2013,Q1,144,2,0,0,0,2,0,0
1013,2018,Q1,84,2,1,0,0,0,1,0
1013,2019,Q1,72,1,0,0,0,0,1,0
1013,2021,Q1,48,1,0,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1015,2011,Q1,168,2,0,1,0,1,0,0
1015,2012,Q1,156,2,0,1,0,0,1,0
1015,2013,Q1,144,7,2,1,0,2,2,0
