site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1000,2012,Q1,156,1,1,0,0,0,0,0
1000,2013,Q1,144,1,0,1,0,0,0,0
1000,2015,Q1,120,4,1,0,1,0,2,0
1000,2016,Q1,108,3,0,0,1,0,2,0
1000,2017,Q1,96,1,0,0,0,0,1,0
1000,2018,Q1,84,1,1,0,0,0,0,0
1000,2019,Q1,72,4,2,0,0,1,1,0
1000,2020,Q1,60,2,0,0,0,0,2,0
1000,2021,Q1,48,1,0,0,0,0,1,0
1000,2023,Q1,24,1,1,0,0,0,0,0
1000,2024,Q1,12,1,1,0,0,0,0,0
1000,2024,Q3,6,3,3,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1003,2023,Q1,24,1,0,0,1,0,0,0
1003,2024,Q3,6,1,0,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1004,2010,Q1,180,1,1,0,0,0,0,0
1004,2011,Q1,168,2,2,0,0,0,0,0
1004,2012,Q1,156,35,21,0,0,11,3,0
1004,2013,Q1,144,10,3,0,1,5,1,0
1004,2014,Q1,132,6,4,1,0,1,0,0
1004,2015,Q1,120,11,2,1,1,2,5,0
1004,2016,Q1,108,10,6,0,0,3,1,0
1004,2017,Q1,96,6,4,0,1,1,0,0
1004,2018,Q1,84,16,7,0,2,2,5,0
1004,2019,Q1,72,8,3,0,1,1,3,0
1004,2020,Q1,60,8,1,0,1,1,5,0
1004,2021,Q1,48,3,0,0,0,0,3,0
1004,2022,Q1,36,6,4,1,0,0,1,0
1004,2023,Q1,24,8,4,0,0,0,4,0
1004,2024,Q1,12,5,2,0,0,0,3,0
1004,2024,Q3,6,5,5,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1006,2012,Q1,156,7,2,2,0,1,2,0
1006,2013,Q1,144,1,0,1,0,0,0,0
1006,2014,Q1,132,1,1,0,0,0,0,0
1006,2015,Q1,120,4,4,0,0,0,0,0
1006,2016,Q1,108,3,3,0,0,0,0,0
1006,2017,Q1,96,7,6,1,0,0,0,0
1006,2018,Q1,84,8,4,0,0,1,3,0
1006,2019,Q1,72,3,3,0,0,0,0,0
1006,2020,Q1,60,1,1,0,0,0,0,0
1006,2023,Q1,24,1,1,0,0,0,0,0
1006,2024,Q1,12,2,2,0,0,0,0,0
1006,2024,Q3,6,3,3,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1007,2012,Q1,156,17,9,1,2,0,5,0
1007,2013,Q1,144,25,11,2,8,0,4,0
1007,2014,Q1,132,17,10,0,5,0,2,0
1007,2015,Q1,120,12,4,0,5,0,3,0
1007,2016,Q1,108,20,8,1,5,0,6,0
1007,2017,Q1,96,4,0,1,1,0,2,0
1007,2018,Q1,84,13,6,0,2,0,5,0
1007,2019,Q1,72,13,5,0,5,0,3,0
1007,2020,Q1,60,11,3,0,6,0,2,0
1007,2021,Q1,48,5,5,0,0,0,0,0
1007,2022,Q1,36,7,2,0,3,0,2,0
1007,2023,Q1,24,6,2,0,1,0,3,0
1007,2024,Q1,12,4,4,0,0,0,0,0
1007,2024,Q3,6,5,3,0,2,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1008,2012,Q1,156,1,1,0,0,0,0,0
1008,2013,Q1,144,3,1,0,1,0,1,0
1008,2014,Q1,132,4,2,0,0,0,2,0
1008,2015,Q1,120,5,0,1,2,0,2,0
1008,2016,Q1,108,3,1,0,1,0,1,0
1008,2018,Q1,84,4,3,0,1,0,0,0
1008,2019,Q1,72,2,0,0,0,0,2,0
1008,2020,Q1,60,10,4,1,3,1,1,0
1008,2021,Q1,48,2,1,0,0,0,1,0
1008,2022,Q1,36,4,0,0,1,0,3,0
1008,2023,Q1,24,4,3,0,1,0,0,0
1008,2024,Q1,12,7,5,0,0,0,2,0
1008,2024,Q3,6,3,0,0,1,0,2,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
100,2007,Q1,216,1,1,0,0,0,0,0
100,2012,Q1,156,9,5,0,2,0,2,0
100,2013,Q1,144,8,2,0,3,0,3,0
100,2014,Q1,132,6,5,1,0,0,0,0
100,2015,Q1,120,1,1,0,0,0,0,0
100,2016,Q1,108,3,1,0,2,0,0,0
100,2017,Q1,96,9,2,0,6,0,1,0
100,2018,Q1,84,8,2,0,5,0,1,0
100,2019,Q1,72,4,0,0,2,0,2,0
100,2020,Q1,60,11,4,0,7,0,0,0
100,2021,Q1,48,3,0,0,2,0,1,0
100,2022,Q1,36,5,2,0,3,0,0,0
100,2023,Q1,24,2,1,0,1,0,0,0
100,2024,Q3,6,4,1,0,3,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1011,2011,Q1,168,1,0,0,0,0,1,0
1011,2012,Q1,156,1,0,0,0,0,1,0
1011,2013,Q1,144,1,0,0,1,0,0,0
1011,2014,Q1,132,1,0,0,0,0,1,0
1011,2015,Q1,120,1,1,0,0,0,0,0
1011,2016,Q1,108,2,2,0,0,0,0,0
1011,2017,Q1,96,1,1,0,0,0,0,0
1011,2018,Q1,84,1,0,0,1,0,0,0
1011,2019,Q1,72,1,0,0,0,0,1,0
1011,2021,Q1,48,1,0,0,1,0,0,0
1011,2022,Q1,36,2,1,0,1,0,0,0
1011,2023,Q1,24,1,0,0,1,0,0,0
1011,2024,Q1,12,2,1,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1012,2013,Q1,144,3,2,0,0,0,1,0
1012,2014,Q1,132,1,0,0,1,0,0,0
1012,2015,Q1,120,5,3,0,1,0,1,0
1012,2016,Q1,108,7,0,0,2,0,5,0
1012,2017,Q1,96,1,1,0,0,0,0,0
1012,2018,Q1,84,3,1,0,1,0,1,0
1012,2019,Q1,72,3,1,1,0,0,1,0
1012,2021,Q1,48,1,0,0,0,0,1,0
1012,2022,Q1,36,1,0,0,0,0,1,0
1012,2024,Q1,12,1,1,0,0,0,0,0
1012,2024,Q3,6,4,4,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1013,2012,Q1,156,1,0,0,0,1,0,0
1013,2013,Q1,144,3,3,0,0,0,0,0
1013,2014,Q1,132,2,1,0,0,0,1,0
1013,2015,Q1,120,5,3,0,1,1,0,0
1013,2016,Q1,108,1,0,0,1,0,0,0
1013,2017,Q1,96,1,1,0,0,0,0,0
1013,2018,Q1,84,2,1,0,0,1,0,0
1013,2019,Q1,72,3,1,0,1,1,0,0
1013,2020,Q1,60,3,1,0,0,1,1,0
1013,2021,Q1,48,6,3,0,0,1,2,0
1013,2022,Q1,36,2,2,0,0,0,0,0
1013,2023,Q1,24,6,2,0,0,0,4,0
1013,2024,Q1,12,5,4,0,1,0,0,0
1013,2024,Q3,6,6,6,0,0,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1015,2007,Q1,216,1,1,0,0,0,0,0
1015,2009,Q1,192,2,1,0,0,0,1,0
