site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1000,Female,20-24 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1006,Female,25-29 years,0,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1008,Female,25-29 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1012,Female,15-19 years,1,0,1,0
1012,Female,20-24 years,1,0,1,0
1012,Female,30-34 years,1,1,1,1
1012,Female,40-44 years,1,0,1,0
1012,Male,45-49 years,1,0,1,0
1012,Male,55-59 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1015,Male,35-39 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
101,Female,40-44 years,1,0,1,0
101,Male,25-29 years,1,0,1,0
101,Male,40-44 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1023,Female,25-29 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1025,Male,30-34 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
102,Male,10-14 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1040,Female,20-24 years,0,1,0,1
1040,Male,35-39 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1046,Female,40-44 years,1,0,1,0
1046,Female,50-54 years,1,0,1,0
1046,Male,55-59 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
104,Male,10-14 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1053,Male,45-49 years,1,0,1,0
1053,Male,50-54 years,0,1,0,1
1053,Male,60-64 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1058,Female,25-29 years,1,0,1,0
1058,Female,30-34 years,1,0,1,0
1058,Male,35-39 years,1,0,1,0
1058,Male,45-49 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1059,Female,20-24 years,1,0,1,0
1059,Male,50-54 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1060,Female,30-34 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1066,Female,<1 years,0,0,0,1
1066,Male,35-39 years,1,0,1,0
1066,Male,40-44 years,0,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1069,Male,35-39 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1076,Female,25-29 years,1,0,1,0
1076,Female,30-34 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1079,Female,20-24 years,0,1,0,1
1079,Female,30-34 years,0,2,0,2
1079,Female,35-39 years,0,5,0,5
1079,Male,25-29 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1086,Female,15-19 years,0,0,0,1
1086,Female,20-24 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1089,Female,15-19 years,0,1,0,1
1089,Female,20-24 years,0,1,0,1
1089,Female,25-29 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1098,Male,30-34 years,0,2,0,2
1098,Male,45-49 years,0,1,0,1
1098,Male,50-54 years,0,2,0,2
1098,Male,70-74 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
10,Female,25-29 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1100,Female,1-4 years,0,1,0,1
1100,Female,20-24 years,1,0,1,0
1100,Female,45-49 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1105,Male,40-44 years,0,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1115,Female,25-29 years,1,0,1,0
1115,Female,30-34 years,0,1,0,1
1115,Male,40-44 years,0,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1119,Female,20-24 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1123,Female,40-44 years,0,0,1,0
1123,Male,45-49 years,0,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
1127,Female,35-39 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
112,Male,25-29 years,0,1,0,1
112,Male,30-34 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
117,Female,25-29 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
121,Female,45-49 years,1,0,1,0
121,Male,1-4 years,0,2,0,2
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
124,Female,1-4 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
125,Male,30-34 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
12,Female,<1 years,0,1,0,1
12,Female,15-19 years,1,0,1,0
12,Female,25-29 years,1,0,1,0
12,Female,35-39 years,1,0,1,0
12,Female,45-49 years,1,0,1,0
12,Male,<1 years,0,1,0,1
12,Male,30-34 years,1,0,1,0
12,Male,45-49 years,1,0,1,0
12,Male,5-9 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
132,Female,15-19 years,1,0,1,0
132,Female,25-29 years,1,0,1,0
132,Male,25-29 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
138,Female,30-34 years,0,0,0,1
138,Male,45-49 years,0,1,0,1
138,Male,5-9 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
143,Female,1-4 years,0,1,0,1
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
145,Female,10-14 years,1,0,1,0
site_id,gender,age_group,3HP (Started New on ART),6H (Started New on ART),3HP (Started Previously on ART),6H (Started Previously on ART)
146,Male,15-19 years,1,0,1,0
