site_id,facility,indicator,sex,age_group,Date_Submitted,# of clients on <3 months of ARVs,# of clients on 3 - 5 months of ARVs,# of clients on >= 6 months of ARVs
1042,Kamuzu Academy Clinic,TX_CURR_MMD,Male,45-49 years,2025-08-26 01:24:06.723883+00:00,0,1,0
1042,Kamuzu Academy Clinic,TX_CURR_MMD,Female,30-34 years,2025-08-26 01:24:06.723883+00:00,1,0,0
1042,Kamuzu Academy Clinic,TX_CURR_MMD,Male,55-59 years,2025-08-26 01:24:06.723883+00:00,0,2,0
1042,Kamuzu Academy Clinic,TX_CURR_MMD,FNP,All,2025-08-26 01:24:06.723883+00:00,2,4,0
1042,Kamuzu Academy Clinic,TX_CURR_MMD,Female,45-49 years,2025-08-26 01:24:06.723883+00:00,0,1,0
1042,Kamuzu Academy Clinic,TX_CURR_MMD,Male,50-54 years,2025-08-26 01:24:06.723883+00:00,0,2,0
1042,Kamuzu Academy Clinic,TX_CURR_MMD,Female,35-39 years,2025-08-26 01:24:06.723883+00:00,1,0,0
1042,Kamuzu Academy Clinic,TX_CURR_MMD,Female,15-19 years,2025-08-26 01:24:06.723883+00:00,0,2,0
1042,Kamuzu Academy Clinic,TX_CURR_MMD,Male,40-44 years,2025-08-26 01:24:06.723883+00:00,0,1,0
1042,Kamuzu Academy Clinic,TX_CURR_MMD,Female,50-54 years,2025-08-26 01:24:06.723883+00:00,0,1,0
1042,Kamuzu Academy Clinic,TX_CURR_MMD,Male,All,2025-08-26 01:24:06.723883+00:00,0,7,0
1042,Kamuzu Academy Clinic,TX_CURR_MMD,Male,15-19 years,2025-08-26 01:24:06.723883+00:00,0,1,0
site_id,facility,indicator,sex,age_group,Date_Submitted,# of clients on <3 months of ARVs,# of clients on 3 - 5 months of ARVs,# of clients on >= 6 months of ARVs
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,55-59 years,2025-08-26 01:24:06.734960+00:00,0,4,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,65-69 years,2025-08-26 01:24:06.734960+00:00,0,2,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,45-49 years,2025-08-26 01:24:06.734960+00:00,2,5,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,65-69 years,2025-08-26 01:24:06.734960+00:00,0,1,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,All,2025-08-26 01:24:06.734960+00:00,4,26,4
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,25-29 years,2025-08-26 01:24:06.734960+00:00,0,2,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,FNP,All,2025-08-26 01:24:06.734960+00:00,3,49,2
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,45-49 years,2025-08-26 01:24:06.734960+00:00,2,5,2
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,30-34 years,2025-08-26 01:24:06.734960+00:00,1,3,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,10-14 years,2025-08-26 01:24:06.734960+00:00,0,1,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,40-44 years,2025-08-26 01:24:06.734960+00:00,0,1,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,55-59 years,2025-08-26 01:24:06.734960+00:00,1,4,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,35-39 years,2025-08-26 01:24:06.734960+00:00,0,2,1
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,15-19 years,2025-08-26 01:24:06.734960+00:00,0,4,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,15-19 years,2025-08-26 01:24:06.734960+00:00,0,3,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,35-39 years,2025-08-26 01:24:06.734960+00:00,0,3,1
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,70-74 years,2025-08-26 01:24:06.734960+00:00,0,2,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,5-9 years,2025-08-26 01:24:06.734960+00:00,1,1,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,10-14 years,2025-08-26 01:24:06.734960+00:00,0,1,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,50-54 years,2025-08-26 01:24:06.734960+00:00,1,1,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,FP,All,2025-08-26 01:24:06.734960+00:00,1,0,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,30-34 years,2025-08-26 01:24:06.734960+00:00,0,3,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,40-44 years,2025-08-26 01:24:06.734960+00:00,0,8,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Male,70-74 years,2025-08-26 01:24:06.734960+00:00,0,1,1
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,60-64 years,2025-08-26 01:24:06.734960+00:00,0,7,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,50-54 years,2025-08-26 01:24:06.734960+00:00,0,4,1
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,20-24 years,2025-08-26 01:24:06.734960+00:00,0,2,0
1075,Kavuzi Cummock Health Centre,TX_CURR_MMD,Female,25-29 years,2025-08-26 01:24:06.734960+00:00,0,5,0
site_id,facility,indicator,sex,age_group,Date_Submitted,# of clients on <3 months of ARVs,# of clients on 3 - 5 months of ARVs,# of clients on >= 6 months of ARVs
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,65-69 years,2025-08-26 01:24:06.554603+00:00,0,9,28
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,15-19 years,2025-08-26 01:24:06.554603+00:00,9,87,15
10,Area 25 Urban Health Centre,TX_CURR_MMD,FBF,All,2025-08-26 01:24:06.554603+00:00,39,259,81
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,35-39 years,2025-08-26 01:24:06.554603+00:00,14,124,207
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,80-84 years,2025-08-26 01:24:06.554603+00:00,1,0,1
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,75-79 years,2025-08-26 01:24:06.554603+00:00,0,2,4
10,Area 25 Urban Health Centre,TX_CURR_MMD,Unknown,All,2025-08-26 01:24:06.554603+00:00,0,2,1
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,25-29 years,2025-08-26 01:24:06.554603+00:00,4,49,74
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,50-54 years,2025-08-26 01:24:06.554603+00:00,3,83,207
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,25-29 years,2025-08-26 01:24:06.554603+00:00,38,305,300
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,60-64 years,2025-08-26 01:24:06.554603+00:00,1,34,59
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,40-44 years,2025-08-26 01:24:06.554603+00:00,6,236,506
10,Area 25 Urban Health Centre,TX_CURR_MMD,Unknown,25-29 years,2025-08-26 01:24:06.554603+00:00,0,1,0
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,<1 years,2025-08-26 01:24:06.554603+00:00,0,3,0
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,65-69 years,2025-08-26 01:24:06.554603+00:00,1,11,41
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,70-74 years,2025-08-26 01:24:06.554603+00:00,1,11,8
10,Area 25 Urban Health Centre,TX_CURR_MMD,FP,All,2025-08-26 01:24:06.554603+00:00,22,114,51
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,5-9 years,2025-08-26 01:24:06.554603+00:00,0,12,12
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,20-24 years,2025-08-26 01:24:06.554603+00:00,4,31,33
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,85-89 years,2025-08-26 01:24:06.554603+00:00,0,0,1
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,70-74 years,2025-08-26 01:24:06.554603+00:00,1,5,13
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,35-39 years,2025-08-26 01:24:06.554603+00:00,21,320,470
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,45-49 years,2025-08-26 01:24:06.554603+00:00,5,161,269
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,<1 years,2025-08-26 01:24:06.554603+00:00,0,2,0
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,10-14 years,2025-08-26 01:24:06.554603+00:00,3,38,6
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,80-84 years,2025-08-26 01:24:06.554603+00:00,0,1,1
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,1-4 years,2025-08-26 01:24:06.554603+00:00,1,5,13
10,Area 25 Urban Health Centre,TX_CURR_MMD,FNP,All,2025-08-26 01:24:06.554603+00:00,85,1419,2371
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,5-9 years,2025-08-26 01:24:06.554603+00:00,0,11,17
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,10-14 years,2025-08-26 01:24:06.554603+00:00,2,49,5
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,45-49 years,2025-08-26 01:24:06.554603+00:00,2,171,332
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,30-34 years,2025-08-26 01:24:06.554603+00:00,10,76,144
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,60-64 years,2025-08-26 01:24:06.554603+00:00,1,34,65
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,50-54 years,2025-08-26 01:24:06.554603+00:00,0,70,174
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,30-34 years,2025-08-26 01:24:06.554603+00:00,31,315,377
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,40-44 years,2025-08-26 01:24:06.554603+00:00,5,142,339
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,55-59 years,2025-08-26 01:24:06.554603+00:00,2,49,101
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,55-59 years,2025-08-26 01:24:06.554603+00:00,0,44,90
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,75-79 years,2025-08-26 01:24:06.554603+00:00,0,2,6
10,Area 25 Urban Health Centre,TX_CURR_MMD,Female,20-24 years,2025-08-26 01:24:06.554603+00:00,34,125,101
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,All,2025-08-26 01:24:06.554603+00:00,56,891,1546
10,Area 25 Urban Health Centre,TX_CURR_MMD,Male,85-89 years,2025-08-26 01:24:06.554603+00:00,0,1,0
