site_id,facility,indicator,sex,age_group,Date_Submitted,tx_curr
1042,Kamuzu Academy Clinic,TX_CURR,Male,50-54 years,2025-08-26 01:24:06.548059+00:00,2
1042,Kamuzu Academy Clinic,TX_CURR,Male,40-44 years,2025-08-26 01:24:06.548059+00:00,1
1042,Kamuzu Academy Clinic,TX_CURR,FNP,All,2025-08-26 01:24:06.548059+00:00,6
1042,Kamuzu Academy Clinic,TX_CURR,Male,15-19 years,2025-08-26 01:24:06.548059+00:00,1
1042,Kamuzu Academy Clinic,TX_CURR,Male,55-59 years,2025-08-26 01:24:06.548059+00:00,2
1042,Kamuzu Academy Clinic,TX_CURR,Male,45-49 years,2025-08-26 01:24:06.548059+00:00,1
1042,Kamuzu Academy Clinic,TX_CURR,Female,15-19 years,2025-08-26 01:24:06.548059+00:00,2
1042,Kamuzu Academy Clinic,TX_CURR,Female,35-39 years,2025-08-26 01:24:06.548059+00:00,1
1042,Kamuzu Academy Clinic,TX_CURR,Female,50-54 years,2025-08-26 01:24:06.548059+00:00,1
1042,Kamuzu Academy Clinic,TX_CURR,Female,45-49 years,2025-08-26 01:24:06.548059+00:00,1
1042,Kamuzu Academy Clinic,TX_CURR,Male,All,2025-08-26 01:24:06.548059+00:00,7
1042,Kamuzu Academy Clinic,TX_CURR,Female,30-34 years,2025-08-26 01:24:06.548059+00:00,1
site_id,facility,indicator,sex,age_group,Date_Submitted,tx_curr
1075,Kavuzi Cummock Health Centre,TX_CURR,FP,All,2025-08-26 01:24:06.551336+00:00,1
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,55-59 years,2025-08-26 01:24:06.551336+00:00,5
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,30-34 years,2025-08-26 01:24:06.551336+00:00,3
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,25-29 years,2025-08-26 01:24:06.551336+00:00,2
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,55-59 years,2025-08-26 01:24:06.551336+00:00,4
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,25-29 years,2025-08-26 01:24:06.551336+00:00,5
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,5-9 years,2025-08-26 01:24:06.551336+00:00,2
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,All,2025-08-26 01:24:06.551336+00:00,34
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,45-49 years,2025-08-26 01:24:06.551336+00:00,7
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,50-54 years,2025-08-26 01:24:06.551336+00:00,5
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,35-39 years,2025-08-26 01:24:06.551336+00:00,3
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,60-64 years,2025-08-26 01:24:06.551336+00:00,7
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,50-54 years,2025-08-26 01:24:06.551336+00:00,2
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,65-69 years,2025-08-26 01:24:06.551336+00:00,2
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,70-74 years,2025-08-26 01:24:06.551336+00:00,2
1075,Kavuzi Cummock Health Centre,TX_CURR,FNP,All,2025-08-26 01:24:06.551336+00:00,54
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,35-39 years,2025-08-26 01:24:06.551336+00:00,4
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,45-49 years,2025-08-26 01:24:06.551336+00:00,9
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,15-19 years,2025-08-26 01:24:06.551336+00:00,4
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,40-44 years,2025-08-26 01:24:06.551336+00:00,1
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,70-74 years,2025-08-26 01:24:06.551336+00:00,2
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,30-34 years,2025-08-26 01:24:06.551336+00:00,4
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,65-69 years,2025-08-26 01:24:06.551336+00:00,1
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,40-44 years,2025-08-26 01:24:06.551336+00:00,8
1075,Kavuzi Cummock Health Centre,TX_CURR,Male,10-14 years,2025-08-26 01:24:06.551336+00:00,1
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,20-24 years,2025-08-26 01:24:06.551336+00:00,2
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,10-14 years,2025-08-26 01:24:06.551336+00:00,1
1075,Kavuzi Cummock Health Centre,TX_CURR,Female,15-19 years,2025-08-26 01:24:06.551336+00:00,3
site_id,facility,indicator,sex,age_group,Date_Submitted,tx_curr
10,Area 25 Urban Health Centre,TX_CURR,Female,45-49 years,2025-08-26 01:24:06.367788+00:00,505
10,Area 25 Urban Health Centre,TX_CURR,Unknown,25-29 years,2025-08-26 01:24:06.367788+00:00,1
10,Area 25 Urban Health Centre,TX_CURR,Male,60-64 years,2025-08-26 01:24:06.367788+00:00,100
10,Area 25 Urban Health Centre,TX_CURR,Unknown,All,2025-08-26 01:24:06.367788+00:00,3
10,Area 25 Urban Health Centre,TX_CURR,Male,1-4 years,2025-08-26 01:24:06.367788+00:00,24
10,Area 25 Urban Health Centre,TX_CURR,Female,60-64 years,2025-08-26 01:24:06.367788+00:00,94
10,Area 25 Urban Health Centre,TX_CURR,Unknown,20-24 years,2025-08-26 01:24:06.367788+00:00,1
10,Area 25 Urban Health Centre,TX_CURR,Female,85-89 years,2025-08-26 01:24:06.367788+00:00,1
10,Area 25 Urban Health Centre,TX_CURR,Male,40-44 years,2025-08-26 01:24:06.367788+00:00,486
10,Area 25 Urban Health Centre,TX_CURR,Female,20-24 years,2025-08-26 01:24:06.367788+00:00,260
10,Area 25 Urban Health Centre,TX_CURR,Female,40-44 years,2025-08-26 01:24:06.367788+00:00,748
10,Area 25 Urban Health Centre,TX_CURR,Female,75-79 years,2025-08-26 01:24:06.367788+00:00,8
10,Area 25 Urban Health Centre,TX_CURR,Female,25-29 years,2025-08-26 01:24:06.367788+00:00,643
10,Area 25 Urban Health Centre,TX_CURR,Male,20-24 years,2025-08-26 01:24:06.367788+00:00,68
10,Area 25 Urban Health Centre,TX_CURR,FBF,All,2025-08-26 01:24:06.367788+00:00,379
10,Area 25 Urban Health Centre,TX_CURR,Male,35-39 years,2025-08-26 01:24:06.367788+00:00,345
10,Area 25 Urban Health Centre,TX_CURR,Male,80-84 years,2025-08-26 01:24:06.367788+00:00,2
