site_id,facility,indicator,sex,age_group,Date_Submitted,IIT <3 mo,IIT 3-5 mo,IIT 6+ mo,Patient died,Patient transferred out,Treatment stopped
1042,Kamuzu Academy Clinic,TX_ML,Male,55-59 years,2025-08-26 01:24:06.929133+00:00,0,0,1,0,0,0
1042,Kamuzu Academy Clinic,TX_ML,Male,All,2025-08-26 01:24:06.929133+00:00,0,0,1,0,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,IIT <3 mo,IIT 3-5 mo,IIT 6+ mo,Patient died,Patient transferred out,Treatment stopped
1075,Kavuzi Cummock Health Centre,TX_ML,Female,25-29 years,2025-08-26 01:24:06.938850+00:00,0,0,1,0,0,0
1075,Kavuzi Cummock Health Centre,TX_ML,Male,All,2025-08-26 01:24:06.938850+00:00,0,0,3,0,0,0
1075,Kavuzi Cummock Health Centre,TX_ML,FNP,All,2025-08-26 01:24:06.938850+00:00,0,0,2,0,0,0
1075,Kavuzi Cummock Health Centre,TX_ML,Male,45-49 years,2025-08-26 01:24:06.938850+00:00,0,0,1,0,0,0
1075,Kavuzi Cummock Health Centre,TX_ML,Male,40-44 years,2025-08-26 01:24:06.938850+00:00,0,0,1,0,0,0
1075,Kavuzi Cummock Health Centre,TX_ML,Male,60-64 years,2025-08-26 01:24:06.938850+00:00,0,0,1,0,0,0
1075,Kavuzi Cummock Health Centre,TX_ML,Female,60-64 years,2025-08-26 01:24:06.938850+00:00,0,0,1,0,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,IIT <3 mo,IIT 3-5 mo,IIT 6+ mo,Patient died,Patient transferred out,Treatment stopped
10,Area 25 Urban Health Centre,TX_ML,Female,55-59 years,2025-08-26 01:24:06.840149+00:00,0,0,2,0,0,0
10,Area 25 Urban Health Centre,TX_ML,Male,1-4 years,2025-08-26 01:24:06.840149+00:00,0,1,1,0,0,0
10,Area 25 Urban Health Centre,TX_ML,Male,All,2025-08-26 01:24:06.840149+00:00,18,9,174,0,2,0
10,Area 25 Urban Health Centre,TX_ML,Female,15-19 years,2025-08-26 01:24:06.840149+00:00,0,1,13,0,1,0
10,Area 25 Urban Health Centre,TX_ML,Male,55-59 years,2025-08-26 01:24:06.840149+00:00,0,1,9,0,0,0
