site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
1075,Kavuzi Cummock Health Centre,TX_NEW,Male,45-49 years,2025-08-26 01:24:06.360130+00:00,0,0,2
1075,Kavuzi Cummock Health Centre,TX_NEW,Male,All,2025-08-26 01:24:06.360130+00:00,0,0,4
1075,Kavuzi Cummock Health Centre,TX_NEW,Female,5-9 years,2025-08-26 01:24:06.360130+00:00,0,0,1
1075,Kavuzi Cummock Health Centre,TX_NEW,FNP,All,2025-08-26 01:24:06.360130+00:00,0,0,2
1075,Kavuzi Cummock Health Centre,TX_NEW,Male,30-34 years,2025-08-26 01:24:06.360130+00:00,0,0,1
1075,Kavuzi Cummock Health Centre,TX_NEW,Female,35-39 years,2025-08-26 01:24:06.360130+00:00,0,0,1
1075,Kavuzi Cummock Health Centre,TX_NEW,Female,30-34 years,2025-08-26 01:24:06.360130+00:00,0,0,1
1075,Kavuzi Cummock Health Centre,TX_NEW,FP,All,2025-08-26 01:24:06.360130+00:00,0,0,1
1075,Kavuzi Cummock Health Centre,TX_NEW,Male,50-54 years,2025-08-26 01:24:06.360130+00:00,0,0,1
site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
10,Area 25 Urban Health Centre,TX_NEW,Female,30-34 years,2025-08-26 01:24:06.258567+00:00,0,0,18
10,Area 25 Urban Health Centre,TX_NEW,Male,25-29 years,2025-08-26 01:24:06.258567+00:00,0,0,10
10,Area 25 Urban Health Centre,TX_NEW,FBF,All,2025-08-26 01:24:06.258567+00:00,0,0,6
10,Area 25 Urban Health Centre,TX_NEW,Male,30-34 years,2025-08-26 01:24:06.258567+00:00,0,0,12
10,Area 25 Urban Health Centre,TX_NEW,Male,15-19 years,2025-08-26 01:24:06.258567+00:00,0,0,2
10,Area 25 Urban Health Centre,TX_NEW,Male,All,2025-08-26 01:24:06.258567+00:00,0,0,82
10,Area 25 Urban Health Centre,TX_NEW,Male,<1 years,2025-08-26 01:24:06.258567+00:00,0,0,2
10,Area 25 Urban Health Centre,TX_NEW,Female,60-64 years,2025-08-26 01:24:06.258567+00:00,0,0,2
10,Area 25 Urban Health Centre,TX_NEW,Male,70-74 years,2025-08-26 01:24:06.258567+00:00,0,0,1
10,Area 25 Urban Health Centre,TX_NEW,Male,35-39 years,2025-08-26 01:24:06.258567+00:00,0,0,15
10,Area 25 Urban Health Centre,TX_NEW,Male,45-49 years,2025-08-26 01:24:06.258567+00:00,0,0,5
10,Area 25 Urban Health Centre,TX_NEW,Female,45-49 years,2025-08-26 01:24:06.258567+00:00,0,0,1
